# ----------------------------------------
# 1 Master View
# Location
# 20210101-20211231
# ----------------------------------------

Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
California,"74,623","71,925","127,192",29.51%,8.10,00:04:47,"9,230","$746,386.06",7.26%
Texas,"20,120","19,412","29,123",40.16%,6.90,00:04:03,"1,531","$127,155.61",5.26%
New York,"20,100","19,471","31,352",35.01%,7.07,00:04:04,"2,007","$154,788.06",6.40%
Washington,"12,406","11,871","20,951",29.02%,9.03,00:04:51,"1,779","$115,427.28",8.49%
Florida,"10,817","10,543","14,785",45.62%,5.54,00:03:29,503,"$59,477.06",3.40%
Illinois,"10,157","9,738","15,687",36.88%,7.11,00:04:01,"1,045","$81,159.66",6.66%
New Jersey,"8,590","8,205","13,250",34.26%,7.52,00:04:21,803,"$63,726.40",6.06%
Massachusetts,"7,370","7,043","12,048",35.17%,6.75,00:04:08,664,"$52,548.57",5.51%
Pennsylvania,"7,352","7,093","9,808",44.91%,5.51,00:03:06,334,"$20,551.24",3.41%
Georgia,"7,330","7,087","10,531",41.42%,6.46,00:03:46,535,"$49,189.63",5.08%
North Carolina,"6,287","6,057","8,463",47.68%,5.32,00:03:15,304,"$22,595.01",3.59%
Michigan,"5,963","5,793","9,509",39.57%,6.32,00:03:40,536,"$42,858.82",5.64%
Virginia,"5,936","5,676","9,616",37.45%,6.57,00:04:08,423,"$35,154.47",4.40%
Ohio,"5,758","5,646","7,653",49.20%,4.68,00:02:49,182,"$23,027.76",2.38%
Colorado,"4,868","4,648","7,663",35.56%,7.14,00:04:10,546,"$41,926.76",7.13%
Maryland,"3,909","3,772","5,456",45.60%,5.43,00:03:15,156,"$12,941.15",2.86%
Tennessee,"3,501","3,400","4,736",44.93%,5.79,00:03:32,181,"$15,391.33",3.82%
Arizona,"3,374","3,270","4,366",46.79%,5.35,00:03:12,141,"$11,922.05",3.23%
(not set),"3,352","2,883","4,189",43.38%,5.07,00:02:51,128,"$11,760.68",3.06%
Minnesota,"3,216","3,122","4,471",47.28%,4.86,00:02:52,116,"$10,514.48",2.59%
Wisconsin,"3,043","2,977","3,954",49.75%,4.59,00:02:50,119,"$12,553.33",3.01%
Indiana,"2,915","2,853","3,511",52.61%,4.28,00:02:24,82,"$5,969.06",2.34%
Missouri,"2,910","2,859","3,919",47.74%,5.10,00:02:50,147,"$17,049.71",3.75%
Oregon,"2,368","2,295","3,141",41.77%,6.26,00:03:27,116,"$14,136.44",3.69%
Connecticut,"2,327","2,237","3,226",40.45%,6.36,00:03:34,124,"$11,959.18",3.84%
District of Columbia,"2,231","2,050","2,938",45.34%,5.70,00:03:26,124,"$14,290.79",4.22%
Utah,"2,217","2,165","3,029",43.38%,5.53,00:03:34,101,"$6,726.04",3.33%
South Carolina,"2,112","2,051","2,725",46.90%,5.02,00:02:50,88,"$6,921.92",3.23%
Nevada,"1,998","1,887","2,578",47.09%,5.21,00:03:08,79,"$5,170.77",3.06%
Alabama,"1,859","1,821","2,187",56.15%,4.01,00:02:15,48,"$7,170.50",2.19%
Kentucky,"1,553","1,516","1,920",50.57%,4.80,00:02:46,43,"$3,740.01",2.24%
Louisiana,"1,403","1,387","1,687",57.97%,3.14,00:02:07,20,"$1,649.40",1.19%
Oklahoma,"1,396","1,372","1,713",51.55%,4.54,00:02:07,40,"$5,085.36",2.34%
Kansas,"1,391","1,358","1,625",54.34%,3.99,00:02:18,21,"$2,374.24",1.29%
Iowa,"1,261","1,209","1,561",48.88%,4.89,00:02:47,46,"$3,517.66",2.95%
Mississippi,"1,076","1,058","1,428",53.78%,3.82,00:02:48,28,"$1,867.94",1.96%
Nebraska,"1,068","1,027","1,559",44.77%,4.73,00:02:44,43,"$2,948.14",2.76%
Arkansas,"1,005",986,"1,164",58.85%,4.07,00:02:08,21,"$2,804.15",1.80%
Hawaii,864,796,"1,240",39.19%,6.48,00:04:00,63,"$8,748.32",5.08%
Idaho,745,726,876,50.91%,3.83,00:02:08,21,"$1,435.08",2.40%
New Hampshire,695,675,932,42.60%,5.75,00:04:08,48,"$8,547.03",5.15%
New Mexico,627,609,749,50.87%,4.29,00:02:27,24,"$1,171.46",3.20%
Rhode Island,598,574,746,47.72%,5.28,00:02:57,32,"$2,641.56",4.29%
Maine,555,531,696,46.26%,4.93,00:02:43,55,"$2,203.98",7.90%
West Virginia,555,538,640,58.59%,3.92,00:02:05,14,$886.99,2.19%
Delaware,460,448,599,40.23%,6.72,00:03:48,27,"$1,997.44",4.51%
Montana,338,330,467,48.82%,4.05,00:02:46,11,$737.38,2.36%
South Dakota,287,279,328,57.01%,3.91,00:02:33,3,$346.10,0.91%
Vermont,279,265,361,42.11%,5.35,00:02:42,11,$741.22,3.05%
North Dakota,214,210,254,56.69%,3.13,00:01:40,1,$42.50,0.39%
Alaska,206,202,236,53.81%,3.52,00:02:16,2,$60.25,0.85%
Wyoming,177,170,218,53.21%,4.14,00:02:31,3,$109.00,1.38%
,"265,762","256,116","403,056",37.24%,6.90,00:04:02,"22,749","$1,854,105.03",5.64%

Day Index,Users
1/1/21,461
1/2/21,442
1/3/21,491
1/4/21,690
1/5/21,"1,024"
1/6/21,987
1/7/21,854
1/8/21,911
1/9/21,474
1/10/21,517
1/11/21,"1,082"
1/12/21,"1,039"
1/13/21,953
1/14/21,949
1/15/21,879
1/16/21,459
1/17/21,524
1/18/21,610
1/19/21,"1,188"
1/20/21,"1,107"
1/21/21,"1,066"
1/22/21,934
1/23/21,538
1/24/21,683
1/25/21,980
1/26/21,932
1/27/21,"1,155"
1/28/21,949
1/29/21,847
1/30/21,494
1/31/21,541
2/1/21,963
2/2/21,998
2/3/21,"1,074"
2/4/21,999
2/5/21,952
2/6/21,493
2/7/21,496
2/8/21,"1,018"
2/9/21,902
2/10/21,"1,072"
2/11/21,952
2/12/21,773
2/13/21,496
2/14/21,465
2/15/21,627
2/16/21,918
2/17/21,"1,098"
2/18/21,927
2/19/21,832
2/20/21,465
2/21/21,507
2/22/21,945
2/23/21,931
2/24/21,958
2/25/21,992
2/26/21,976
2/27/21,"1,076"
2/28/21,679
3/1/21,"1,129"
3/2/21,"1,233"
3/3/21,"1,160"
3/4/21,"1,100"
3/5/21,908
3/6/21,551
3/7/21,622
3/8/21,"1,014"
3/9/21,"1,080"
3/10/21,"1,188"
3/11/21,"1,337"
3/12/21,950
3/13/21,627
3/14/21,569
3/15/21,"1,132"
3/16/21,"1,108"
3/17/21,"1,075"
3/18/21,"1,068"
3/19/21,892
3/20/21,544
3/21/21,587
3/22/21,"1,060"
3/23/21,"1,090"
3/24/21,"1,164"
3/25/21,"1,096"
3/26/21,789
3/27/21,568
3/28/21,644
3/29/21,"1,181"
3/30/21,"1,135"
3/31/21,"1,361"
4/1/21,"1,183"
4/2/21,943
4/3/21,654
4/4/21,620
4/5/21,"1,088"
4/6/21,"1,126"
4/7/21,"1,189"
4/8/21,"1,175"
4/9/21,"1,020"
4/10/21,673
4/11/21,634
4/12/21,"1,168"
4/13/21,"1,182"
4/14/21,"1,125"
4/15/21,"1,133"
4/16/21,"1,053"
4/17/21,601
4/18/21,585
4/19/21,"1,083"
4/20/21,"1,041"
4/21/21,"1,110"
4/22/21,"1,252"
4/23/21,937
4/24/21,505
4/25/21,563
4/26/21,"1,051"
4/27/21,"1,123"
4/28/21,"1,301"
4/29/21,"1,176"
4/30/21,875
5/1/21,497
5/2/21,544
5/3/21,980
5/4/21,"1,088"
5/5/21,"1,064"
5/6/21,"1,070"
5/7/21,971
5/8/21,452
5/9/21,523
5/10/21,"1,181"
5/11/21,"1,111"
5/12/21,"1,118"
5/13/21,959
5/14/21,864
5/15/21,481
5/16/21,516
5/17/21,956
5/18/21,"1,108"
5/19/21,997
5/20/21,"1,077"
5/21/21,972
5/22/21,488
5/23/21,516
5/24/21,981
5/25/21,"1,104"
5/26/21,"1,088"
5/27/21,975
5/28/21,608
5/29/21,485
5/30/21,443
5/31/21,494
6/1/21,"1,135"
6/2/21,"1,024"
6/3/21,"1,231"
6/4/21,974
6/5/21,510
6/6/21,569
6/7/21,"1,139"
6/8/21,"1,218"
6/9/21,"1,012"
6/10/21,"1,006"
6/11/21,930
6/12/21,477
6/13/21,533
6/14/21,"1,000"
6/15/21,"1,084"
6/16/21,"1,035"
6/17/21,"1,155"
6/18/21,881
6/19/21,533
6/20/21,532
6/21/21,"1,112"
6/22/21,"1,004"
6/23/21,982
6/24/21,996
6/25/21,907
6/26/21,522
6/27/21,502
6/28/21,"1,074"
6/29/21,"1,361"
6/30/21,"1,035"
7/1/21,"1,036"
7/2/21,864
7/3/21,428
7/4/21,430
7/5/21,531
7/6/21,675
7/7/21,"1,016"
7/8/21,"1,549"
7/9/21,"1,002"
7/10/21,523
7/11/21,541
7/12/21,"1,056"
7/13/21,"1,095"
7/14/21,"1,090"
7/15/21,"2,227"
7/16/21,"1,426"
7/17/21,639
7/18/21,643
7/19/21,"2,820"
7/20/21,"2,037"
7/21/21,"1,854"
7/22/21,"1,980"
7/23/21,"1,119"
7/24/21,570
7/25/21,545
7/26/21,"1,707"
7/27/21,"1,268"
7/28/21,"1,131"
7/29/21,"1,057"
7/30/21,868
7/31/21,451
8/1/21,591
8/2/21,"1,360"
8/3/21,"1,309"
8/4/21,"1,320"
8/5/21,"1,325"
8/6/21,"1,029"
8/7/21,566
8/8/21,561
8/9/21,"1,242"
8/10/21,"1,135"
8/11/21,"1,052"
8/12/21,"1,025"
8/13/21,986
8/14/21,546
8/15/21,590
8/16/21,"1,015"
8/17/21,"1,056"
8/18/21,"1,073"
8/19/21,"1,413"
8/20/21,"1,031"
8/21/21,563
8/22/21,611
8/23/21,"1,073"
8/24/21,"1,089"
8/25/21,"1,292"
8/26/21,"1,162"
8/27/21,"1,000"
8/28/21,518
8/29/21,534
8/30/21,"1,094"
8/31/21,"1,076"
9/1/21,"1,107"
9/2/21,"1,146"
9/3/21,894
9/4/21,499
9/5/21,529
9/6/21,604
9/7/21,"1,131"
9/8/21,"1,127"
9/9/21,"1,137"
9/10/21,954
9/11/21,542
9/12/21,538
9/13/21,"1,076"
9/14/21,"1,164"
9/15/21,"1,475"
9/16/21,"1,131"
